#Time(Localtime),Temperature(degC),Pressure(Pa)
2015-08-07 19:05:19.158012,31.3,99552
2015-08-07 19:05:19.688832,31.4,99566
2015-08-07 19:05:20.701811,31.3,99543
2015-08-07 19:05:21.714633,31.4,99546
2015-08-07 19:05:22.726627,31.4,99528
2015-08-07 19:05:23.739464,31.3,99528
2015-08-07 19:05:24.752047,31.4,99531
2015-08-07 19:05:25.764784,31.4,99531
2015-08-07 19:05:26.777684,31.4,99531
2015-08-07 19:05:27.789640,31.4,99531
2015-08-07 19:05:28.802453,31.4,99534
2015-08-07 19:05:29.814903,31.4,99528
2015-08-07 19:05:30.827307,31.4,99525
2015-08-07 19:05:31.840170,31.4,99519
2015-08-07 19:05:32.852831,31.4,99522
2015-08-07 19:05:33.864373,31.4,99519
2015-08-07 19:05:34.877101,31.3,99522
2015-08-07 19:05:35.890899,31.3,99531
2015-08-07 19:05:36.902508,31.3,99525
2015-08-07 19:05:37.914775,31.4,99519
2015-08-07 19:05:38.927762,31.4,99528
2015-08-07 19:05:39.940238,31.4,99540
2015-08-07 19:05:40.953002,31.4,99525
2015-08-07 19:05:41.965084,31.4,99516
2015-08-07 19:05:42.978298,31.4,99508
2015-08-07 19:05:43.990758,31.4,99502
2015-08-07 19:05:45.003455,31.4,99502
2015-08-07 19:05:46.016055,31.4,99496
2015-08-07 19:05:47.028619,31.4,99499
2015-08-07 19:05:48.040716,31.4,99499
2015-08-07 19:05:49.053411,31.4,99496
2015-08-07 19:05:50.065678,31.4,99496
2015-08-07 19:05:51.077863,31.4,99502
2015-08-07 19:05:52.090702,31.4,99510
2015-08-07 19:05:53.104273,31.4,99502
2015-08-07 19:05:54.116380,31.4,99507
2015-08-07 19:05:55.128385,31.4,99516
2015-08-07 19:05:56.141582,31.4,99516
2015-08-07 19:05:57.153574,31.4,99513
2015-08-07 19:05:58.165864,31.4,99513
2015-08-07 19:05:59.179059,31.4,99513
2015-08-07 19:06:00.191860,31.4,99516
2015-08-07 19:06:01.203856,31.4,99510
2015-08-07 19:06:02.216312,31.4,99516
2015-08-07 19:06:03.228845,31.4,99505
2015-08-07 19:06:04.241526,31.4,99513
2015-08-07 19:06:05.254006,31.4,99508
2015-08-07 19:06:06.266495,31.4,99513
2015-08-07 19:06:07.278973,31.4,99510
2015-08-07 19:06:08.292199,31.4,99513
2015-08-07 19:06:09.304737,31.4,99513
2015-08-07 19:06:10.316418,31.4,99525
2015-08-07 19:06:11.329511,31.4,99522
2015-08-07 19:06:12.341953,31.4,99531
2015-08-07 19:06:13.354590,31.4,99528
2015-08-07 19:06:14.367297,31.4,99528
2015-08-07 19:06:15.380044,31.4,99525
2015-08-07 19:06:16.391986,31.4,99540
2015-08-07 19:06:17.404312,31.4,99522
2015-08-07 19:06:18.417349,31.4,99519
2015-08-07 19:06:19.429962,31.4,99513
2015-08-07 19:06:20.442960,31.4,99516
2015-08-07 19:06:21.455357,31.4,99513
2015-08-07 19:06:22.467646,31.4,99528
2015-08-07 19:06:23.480005,31.4,99528
2015-08-07 19:06:24.492770,31.4,99522
2015-08-07 19:06:25.504841,31.4,99516
2015-08-07 19:06:26.517639,31.4,99525
2015-08-07 19:06:27.529967,31.4,99519
2015-08-07 19:06:28.542993,31.4,99528
2015-08-07 19:06:29.555834,31.4,99525
2015-08-07 19:06:30.567633,31.4,99519
2015-08-07 19:06:31.580677,31.4,99516
2015-08-07 19:06:32.593464,31.4,99519
2015-08-07 19:06:33.605723,31.4,99510
2015-08-07 19:06:34.618195,31.4,99516
2015-08-07 19:06:35.630458,31.4,99516
2015-08-07 19:06:36.643599,31.4,99531
2015-08-07 19:06:37.656168,31.4,99528
2015-08-07 19:06:38.668112,31.4,99516
2015-08-07 19:06:39.681362,31.4,99534
2015-08-07 19:06:40.693604,31.4,99510
2015-08-07 19:06:41.705580,31.4,99525
2015-08-07 19:06:42.718763,31.4,99522
2015-08-07 19:06:43.731248,31.4,99519
2015-08-07 19:06:44.744004,31.4,99513
2015-08-07 19:06:45.756395,31.4,99519
2015-08-07 19:06:46.768661,31.4,99513
2015-08-07 19:06:47.781732,31.4,99513
2015-08-07 19:06:48.794185,31.4,99496
2015-08-07 19:06:49.806246,31.4,99499
2015-08-07 19:06:50.819333,31.4,99507
2015-08-07 19:06:51.831934,31.4,99496
2015-08-07 19:06:52.844313,31.4,99499
2015-08-07 19:06:53.856521,31.4,99513
2015-08-07 19:06:54.869004,31.4,99510
2015-08-07 19:06:55.882000,31.4,99513
2015-08-07 19:06:56.894498,31.4,99519
2015-08-07 19:06:57.906586,31.4,99519
2015-08-07 19:06:58.919398,31.4,99510
2015-08-07 19:06:59.932455,31.4,99510
2015-08-07 19:07:00.945090,31.4,99510
2015-08-07 19:07:01.957248,31.4,99507
2015-08-07 19:07:02.969383,31.4,99513
2015-08-07 19:07:03.982338,31.4,99507
2015-08-07 19:07:04.994613,31.4,99505
2015-08-07 19:07:06.007657,31.4,99513
2015-08-07 19:07:07.020688,31.4,99513
2015-08-07 19:07:08.032441,31.4,99510
2015-08-07 19:07:09.045272,31.4,99507
2015-08-07 19:07:10.057906,31.4,99510
2015-08-07 19:07:11.070438,31.4,99507
2015-08-07 19:07:12.082679,31.4,99505
2015-08-07 19:07:13.094922,31.4,99507
2015-08-07 19:07:14.107499,31.4,99507
2015-08-07 19:07:15.120897,31.4,99513
2015-08-07 19:07:16.132833,31.4,99502
2015-08-07 19:07:17.145152,31.4,99507
2015-08-07 19:07:18.157920,31.4,99505
2015-08-07 19:07:19.170866,31.4,99510
2015-08-07 19:07:20.183240,31.4,99513
2015-08-07 19:07:21.195622,31.4,99510
2015-08-07 19:07:22.208851,31.4,99516
2015-08-07 19:07:23.220952,31.4,99516
2015-08-07 19:07:24.233219,31.4,99519
2015-08-07 19:07:25.246308,31.4,99513
2015-08-07 19:07:26.259085,31.4,99522
2015-08-07 19:07:27.270906,31.4,99516
2015-08-07 19:07:28.283361,31.4,99525
2015-08-07 19:07:29.296573,31.4,99519
2015-08-07 19:07:30.308652,31.4,99525
2015-08-07 19:07:31.321554,31.4,99528
2015-08-07 19:07:32.333673,31.4,99522
2015-08-07 19:07:33.346592,31.4,99516
2015-08-07 19:07:34.361203,31.4,99516
2015-08-07 19:07:35.371776,31.4,99528
2015-08-07 19:07:36.384024,31.4,99510
2015-08-07 19:07:37.396196,31.4,99513
2015-08-07 19:07:38.408956,31.4,99507
2015-08-07 19:07:39.421764,31.4,99513
2015-08-07 19:07:40.434550,31.4,99513
2015-08-07 19:07:41.446444,31.4,99516
2015-08-07 19:07:42.459919,31.4,99513
2015-08-07 19:07:43.471999,31.4,99519
2015-08-07 19:07:44.484600,31.4,99519
2015-08-07 19:07:45.496954,31.4,99519
2015-08-07 19:07:46.509438,31.4,99531
2015-08-07 19:07:47.522165,31.4,99528
2015-08-07 19:07:48.535029,31.4,99531
2015-08-07 19:07:49.547583,31.4,99531
