#Time(Localtime),Temperature(degC),Pressure(Pa)
2015-08-08 18:37:45.799700,31.1,98136
2015-08-08 18:37:45.814762,31.1,98127
2015-08-08 18:37:45.852796,31.1,98133
2015-08-08 18:37:45.876121,31.1,98130
2015-08-08 18:37:45.906050,31.2,98127
2015-08-08 18:37:45.934433,31.1,98118
2015-08-08 18:37:46.213108,31.1,98107
2015-08-08 18:37:48.765738,31.2,98115
2015-08-08 18:37:48.794734,31.2,98106
2015-08-08 18:37:49.256558,31.2,98106
2015-08-08 18:37:50.263691,31.1,98109
2015-08-08 18:37:51.275414,31.2,98115
2015-08-08 18:37:53.598580,31.1,98112
2015-08-08 18:37:53.614544,31.2,98121
2015-08-08 18:37:54.313643,31.1,98118
2015-08-08 18:37:55.330477,31.1,98121
2015-08-08 18:37:56.337869,31.1,98130
2015-08-08 18:37:58.091269,31.1,98127
2015-08-08 18:37:58.363214,31.1,98133
2015-08-08 18:37:59.376211,31.1,98145
2015-08-08 18:38:00.388942,31.1,98130
2015-08-08 18:38:01.401629,31.1,98142
2015-08-08 18:38:09.514717,31.1,98124
2015-08-08 18:38:09.524101,31.1,98136
2015-08-08 18:38:09.532758,31.1,98124
2015-08-08 18:38:09.541537,31.1,98148
2015-08-08 18:38:09.550133,31.1,98136
2015-08-08 18:38:09.575860,31.1,98136
2015-08-08 18:38:09.604749,31.1,98139
2015-08-08 18:38:09.641636,31.1,98127
2015-08-08 18:38:10.514299,31.1,98121
2015-08-08 18:38:11.526852,31.1,98127
2015-08-08 18:38:12.539425,31.1,98121
2015-08-08 18:38:13.552344,31.1,98127
2015-08-08 18:38:14.564151,31.1,98133
2015-08-08 18:38:15.580266,31.1,98130
2015-08-08 18:38:16.589878,31.1,98133
2015-08-08 18:38:17.602810,31.1,98136
2015-08-08 18:38:18.614797,31.1,98124
2015-08-08 18:38:19.627003,31.1,98139
2015-08-08 18:38:20.651004,31.1,98124
2015-08-08 18:38:21.652476,31.1,98127
2015-08-08 18:38:22.665204,31.1,98133
2015-08-08 18:38:23.677531,31.1,98130
2015-08-08 18:38:24.689315,31.1,98127
2015-08-08 18:38:25.702845,31.1,98127
2015-08-08 18:38:26.715677,31.1,98124
2015-08-08 18:38:27.728250,31.1,98124
2015-08-08 18:38:29.502734,31.1,98121
2015-08-08 18:38:29.752610,31.1,98121
2015-08-08 18:38:30.765188,31.1,98133
2015-08-08 18:38:31.777467,31.1,98121
2015-08-08 18:38:32.790774,31.1,98133
2015-08-08 18:38:33.803209,31.1,98130
2015-08-08 18:38:34.815718,31.1,98133
2015-08-08 18:38:42.753042,31.1,98130
2015-08-08 18:38:42.762009,31.1,98133
2015-08-08 18:38:42.770559,31.1,98133
2015-08-08 18:38:42.779131,31.1,98127
2015-08-08 18:38:42.787678,31.1,98133
2015-08-08 18:38:42.796439,31.1,98133
2015-08-08 18:38:42.805178,31.1,98133
2015-08-08 18:38:42.916030,31.1,98145
2015-08-08 18:38:43.929057,31.1,98139
2015-08-08 18:38:44.941088,31.1,98133
2015-08-08 18:38:45.954283,31.1,98136
2015-08-08 18:38:46.966046,31.1,98139
2015-08-08 18:38:47.978585,31.1,98142
2015-08-08 18:38:48.993854,31.1,98139
2015-08-08 18:38:50.004343,31.1,98133
2015-08-08 18:38:51.016608,31.1,98133
2015-08-08 18:38:52.029229,31.1,98115
2015-08-08 18:38:53.041867,31.1,98109
2015-08-08 18:39:03.775621,31.1,98109
2015-08-08 18:39:03.801674,31.1,98107
2015-08-08 18:39:03.814815,31.1,98107
2015-08-08 18:39:03.834625,31.1,98095
2015-08-08 18:39:03.854192,31.1,98101
2015-08-08 18:39:03.864635,31.1,98092
2015-08-08 18:39:03.885374,31.1,98098
2015-08-08 18:39:03.904544,31.1,98089
2015-08-08 18:39:03.924487,31.1,98101
2015-08-08 18:39:03.933283,31.1,98098
2015-08-08 18:39:04.179235,31.1,98104
2015-08-08 18:39:05.192585,31.1,98118
2015-08-08 18:39:06.205131,31.1,98109
2015-08-08 18:39:07.217757,31.1,98118
2015-08-08 18:39:08.229276,31.1,98127
2015-08-08 18:39:09.242537,31.1,98118
2015-08-08 18:39:10.255189,31.1,98130
2015-08-08 18:39:11.267287,31.1,98115
2015-08-08 18:39:12.281283,31.1,98124
2015-08-08 18:39:13.292474,31.1,98115
2015-08-08 18:39:14.305851,31.2,98133
2015-08-08 18:39:15.317563,31.2,98133
2015-08-08 18:39:16.340672,31.1,98121
2015-08-08 18:39:17.343026,31.1,98130
2015-08-08 18:39:18.355721,31.2,98133
2015-08-08 18:39:19.368378,31.1,98127
2015-08-08 18:39:20.381929,31.1,98124
2015-08-08 18:39:21.393752,31.1,98130
2015-08-08 18:39:22.405990,31.1,98142
2015-08-08 18:39:23.418674,31.2,98151
2015-08-08 18:39:24.430351,31.2,98142
2015-08-08 18:39:25.443663,31.2,98148
2015-08-08 18:39:26.455544,31.1,98136
2015-08-08 18:39:27.468246,31.1,98136
2015-08-08 18:39:28.483185,31.2,98133
2015-08-08 18:39:29.493431,31.1,98139
2015-08-08 18:39:30.510868,31.2,98139
2015-08-08 18:39:31.518288,31.2,98133
2015-08-08 18:39:32.531676,31.1,98136
2015-08-08 18:39:33.544110,31.2,98139
2015-08-08 18:39:34.557055,31.1,98136
2015-08-08 18:39:35.568704,31.2,98136
2015-08-08 18:39:36.582136,31.2,98133
2015-08-08 18:39:37.594093,31.2,98124
2015-08-08 18:39:38.606181,31.2,98127
2015-08-08 18:39:39.619250,31.2,98124
2015-08-08 18:39:41.442842,31.2,98127
2015-08-08 18:39:41.644183,31.2,98124
2015-08-08 18:39:42.656827,31.2,98118
2015-08-08 18:39:43.669089,31.2,98118
2015-08-08 18:39:44.682024,31.2,98115
2015-08-08 18:39:45.694161,31.2,98115
2015-08-08 18:39:46.707271,31.2,98118
2015-08-08 18:39:47.719523,31.2,98124
2015-08-08 18:39:48.731929,31.2,98121
2015-08-08 18:39:49.744875,31.2,98127
2015-08-08 18:39:50.757386,31.2,98139
2015-08-08 18:39:51.775509,31.2,98136
2015-08-08 18:39:52.783009,31.2,98133
2015-08-08 18:39:53.795230,31.2,98121
2015-08-08 18:39:54.807680,31.2,98124
2015-08-08 18:39:55.819862,31.2,98133
2015-08-08 18:39:56.832714,31.2,98133
2015-08-08 18:39:57.849176,31.2,98142
2015-08-08 18:39:58.857790,31.2,98148
2015-08-08 18:39:59.875486,31.2,98151
2015-08-08 18:40:00.882628,31.2,98164
2015-08-08 18:40:01.895660,31.2,98158
2015-08-08 18:40:02.908137,31.2,98153
2015-08-08 18:40:03.920628,31.2,98148
2015-08-08 18:40:04.933847,31.2,98133
2015-08-08 18:40:05.946097,31.2,98139
2015-08-08 18:40:06.958192,31.2,98130
2015-08-08 18:40:07.980791,31.2,98118
2015-08-08 18:40:08.983623,31.2,98124
2015-08-08 18:40:09.995960,31.2,98121
2015-08-08 18:40:11.008090,31.2,98118
2015-08-08 18:40:12.020780,31.2,98118
2015-08-08 18:40:13.034228,31.2,98121
2015-08-08 18:40:14.047652,31.2,98127
2015-08-08 18:40:15.058859,31.2,98151
2015-08-08 18:40:16.071616,31.2,98136
2015-08-08 18:40:28.696060,31.2,98151
2015-08-08 18:40:28.707639,31.2,98151
2015-08-08 18:40:28.716299,31.2,98142
2015-08-08 18:40:28.725059,31.2,98139
2015-08-08 18:40:28.733717,31.2,98133
2015-08-08 18:40:28.742642,31.2,98145
2015-08-08 18:40:28.751239,31.2,98142
2015-08-08 18:40:28.759979,31.2,98136
2015-08-08 18:40:28.768520,31.2,98127
2015-08-08 18:40:28.777233,31.2,98133
2015-08-08 18:40:28.785893,31.2,98145
2015-08-08 18:40:28.794197,31.2,98142
2015-08-08 18:40:29.234556,31.2,98133
2015-08-08 18:40:30.247513,31.2,98127
2015-08-08 18:40:33.203300,31.2,98127
2015-08-08 18:40:33.224672,31.2,98124
2015-08-08 18:40:33.284329,31.2,98121
2015-08-08 18:40:34.296989,31.2,98103
2015-08-08 18:40:35.309283,31.2,98109
2015-08-08 18:40:41.124293,31.2,98112
2015-08-08 18:40:41.179997,31.2,98121
2015-08-08 18:40:41.188636,31.2,98109
2015-08-08 18:40:41.224568,31.2,98115
2015-08-08 18:40:41.253047,31.2,98118
2015-08-08 18:40:41.385634,31.2,98127
2015-08-08 18:40:42.397444,31.2,98136
2015-08-08 18:40:43.409869,31.2,98133
2015-08-08 18:40:44.422981,31.2,98136
2015-08-08 18:40:45.434908,31.2,98145
2015-08-08 18:40:46.447936,31.2,98153
2015-08-08 18:40:51.407648,31.2,98139
2015-08-08 18:40:51.435290,31.2,98130
2015-08-08 18:40:51.463931,31.2,98130
2015-08-08 18:40:51.501099,31.2,98124
2015-08-08 18:40:51.515395,31.2,98133
2015-08-08 18:40:52.523454,31.2,98121
2015-08-08 18:40:56.893024,31.2,98136
2015-08-08 18:40:56.908830,31.2,98139
2015-08-08 18:40:56.917561,31.2,98136
2015-08-08 18:40:56.926152,31.2,98133
2015-08-08 18:40:57.586426,31.2,98142
2015-08-08 18:40:59.036983,31.2,98139
2015-08-08 18:40:59.611742,31.2,98127
2015-08-08 18:41:00.623669,31.2,98127
2015-08-08 18:41:01.636636,31.2,98136
2015-08-08 18:41:02.648849,31.2,98139
2015-08-08 18:41:09.908272,31.2,98121
2015-08-08 18:41:09.917008,31.2,98145
2015-08-08 18:41:09.926190,31.2,98136
2015-08-08 18:41:09.934803,31.2,98150
2015-08-08 18:41:09.943421,31.2,98145
2015-08-08 18:41:09.952875,31.2,98127
2015-08-08 18:41:09.961785,31.2,98142
2015-08-08 18:41:10.749331,31.2,98139
2015-08-08 18:41:11.761619,31.2,98147
2015-08-08 18:41:12.774959,31.2,98127
2015-08-08 18:41:13.787208,31.2,98136
2015-08-08 18:41:14.809986,31.2,98136
2015-08-08 18:41:15.812264,31.2,98142
2015-08-08 18:41:16.824911,31.2,98136
2015-08-08 18:41:17.837626,31.2,98127
2015-08-08 18:41:18.859072,31.2,98133
2015-08-08 18:41:19.862270,31.2,98133
